Survived,Age,FamilySize,IsAlone,HasCabin,Fare_log,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Pclass_2,Pclass_3
0,1.2285278312109003,-0.5546661333371994,1,1,0.4374035734762712,False,True,False,True,False,False,False,False
0,-0.4787584572464817,-0.5546661333371994,1,0,-0.3229354857942215,False,True,False,True,False,False,True,False
0,0.2041560581364711,-0.5546661333371994,1,0,-0.7822005884264942,False,True,False,True,False,False,False,True
0,-0.2511202854521641,0.040096346988231245,0,0,-0.7903253443490756,False,True,False,True,False,False,False,True
0,-1.7687080974142815,3.013908748615384,0,0,0.5291162981063051,False,True,True,False,False,False,False,True
0,-0.4028790666483758,0.040096346988231245,0,1,2.611446986380956,False,False,False,True,False,False,False,False
0,1.1905881359118473,-0.5546661333371994,1,1,0.3676389646316987,False,True,False,False,False,True,False,False
0,-0.02348211365784648,0.040096346988231245,0,0,0.4100959634310145,False,False,False,True,False,False,True,False
0,0.052397276940259384,-0.5546661333371994,1,0,-0.7855436396344988,False,True,False,True,False,False,False,True
1,0.052397276940259384,-0.5546661333371994,1,1,0.6546124257286282,False,True,False,True,False,False,False,False
1,0.9629499641175298,-0.5546661333371994,1,0,-0.3229354857942215,False,True,False,False,True,False,True,False
0,0.5076736205288945,0.6348588273136618,0,0,0.2746592692781365,False,True,False,True,False,False,False,True
0,0.280035448734577,-0.5546661333371994,1,0,-0.37718083985918793,False,True,False,True,False,False,True,False
0,-0.9340348008351169,0.040096346988231245,0,0,-0.8869301748825031,False,True,False,True,False,False,False,True
1,-0.02348211365784648,-0.5546661333371994,1,0,-0.6164095917111074,False,True,False,True,False,False,False,True
1,1.5699850889023768,0.040096346988231245,0,0,0.3470672904774781,False,True,False,False,True,False,True,False
1,0.4317942299307887,0.040096346988231245,0,1,1.5865525321341436,False,True,False,False,True,False,False,False
1,0.6594324017251063,-0.5546661333371994,1,1,2.525877242903418,False,False,True,False,False,False,False,False
0,0.35591483933268286,-0.5546661333371994,1,0,-0.3229354857942215,False,True,False,True,False,False,True,False
1,-0.9340348008351169,0.040096346988231245,0,1,1.1270675968422692,False,True,False,False,True,False,False,False
0,-1.389311144423752,3.013908748615384,0,0,0.5291162981063051,False,True,True,False,False,False,False,True
0,2.4046583854815413,-0.5546661333371994,1,0,-0.9960006520186098,False,True,False,True,False,False,False,True
0,0.052397276940259384,-0.5546661333371994,1,0,-0.7012059848131963,False,True,True,False,False,False,False,True
1,-1.6928287068161756,0.6348588273136618,0,0,0.35646950867414806,False,True,True,False,False,False,True,False
1,2.556417166677753,-0.5546661333371994,1,0,-0.6079437053405502,False,True,False,False,True,False,False,True
1,-0.7063966290407993,-0.5546661333371994,1,0,-0.8650022939791525,False,False,False,True,False,False,False,True
1,0.35591483933268286,0.6348588273136618,0,0,0.19926578085982907,False,False,False,False,True,False,False,True
0,-0.02348211365784648,-0.5546661333371994,1,0,-0.6180333813210297,False,True,False,True,False,False,False,True
1,0.5076736205288945,1.2296213076390923,0,1,1.8772202168782328,False,True,False,True,False,False,False,False
0,0.052397276940259384,-0.5546661333371994,1,0,-0.22185174087666482,False,False,False,True,False,False,False,True
0,1.5699850889023768,-0.5546661333371994,1,0,-0.7680121336586697,False,True,False,True,False,False,False,True
0,-0.17524089485405822,0.6348588273136618,0,1,2.4517098427125483,False,False,False,True,False,False,False,False
0,0.052397276940259384,-0.5546661333371994,1,0,-0.8624270734479169,False,True,False,True,False,False,False,True
1,0.280035448734577,0.040096346988231245,0,1,1.5865525321341436,True,False,True,False,False,False,False,False
0,0.052397276940259384,-0.5546661333371994,1,0,-0.8053207497537629,True,False,False,True,False,False,False,True
0,-0.5546378478445876,1.8243837879645228,0,0,0.32671611064082623,False,True,True,False,False,False,False,True
0,-2.072225659806705,1.8243837879645228,0,0,0.1416214723374965,False,True,False,False,False,False,False,True
1,-0.32699967605026997,0.6348588273136618,0,0,0.48799907229564676,False,True,True,False,False,False,True,False
0,1.6458644795004826,0.040096346988231245,0,0,1.2013219641774628,False,False,False,True,False,False,False,False
1,-0.32699967605026997,0.040096346988231245,0,0,0.3470672904774781,False,True,False,False,True,False,True,False
0,0.052397276940259384,-0.5546661333371994,1,0,-0.8624270734479169,False,True,False,True,False,False,False,True
0,0.052397276940259384,-0.5546661333371994,1,0,-0.7855436396344988,False,True,False,True,False,False,False,True
0,-0.4028790666483758,-0.5546661333371994,1,0,-0.3229354857942215,False,True,True,False,False,False,True,False
0,-0.858155410237011,0.6348588273136618,0,0,0.1009639353071456,False,True,False,True,False,False,False,True
1,0.052397276940259384,-0.5546661333371994,1,1,0.5043215557614832,False,True,False,True,False,False,False,False
0,-0.32699967605026997,-0.5546661333371994,1,0,-0.8874622796252972,False,True,False,True,False,False,False,True
1,-0.4028790666483758,0.6348588273136618,0,0,-0.21910355439909165,False,True,False,False,True,False,True,False
0,-0.5546378478445876,-0.5546661333371994,1,0,-0.8294797898579589,False,True,False,True,False,False,False,True
1,-2.154175401652659,1.2296213076390923,0,1,2.1135870410488122,False,True,False,False,False,False,False,False
1,-0.4028790666483758,0.040096346988231245,0,0,0.3470672904774781,False,True,False,False,True,False,True,False
1,-0.2511202854521641,-0.5546661333371994,1,0,-0.7822005884264942,False,True,True,False,False,False,False,True
0,0.35591483933268286,0.040096346988231245,0,0,0.13814965916370786,False,True,False,True,False,False,True,False
1,-0.6305172384426934,1.8243837879645228,0,1,2.6706681080690937,False,False,True,False,False,False,False,False
0,0.052397276940259384,-0.5546661333371994,1,0,-0.8024019109872726,True,False,False,True,False,False,False,True
1,0.35591483933268286,-0.5546661333371994,1,0,-0.8650022939791525,False,False,False,False,True,False,False,True
